t,re,im
0,1,-0.039
0.2,0.987,0.004
0.4,0.919,-0.031
0.6,0.829,-0.055
0.8,0.723,-0.126
1,0.625,-0.146
1.2,0.466,-0.201
1.4,0.39,-0.285
1.6,0.293,-0.379
1.8,0.224,-0.436
2,0.221,-0.525
2.2,0.185,-0.568
2.4,0.207,-0.581
2.6,0.182,-0.584
2.8,0.172,-0.565
3,0.15,-0.561
3.2,0.157,-0.472
3.4,0.015,-0.439
3.6,-0.084,-0.394
3.8,-0.257,-0.314
4,-0.378,-0.308
4.2,-0.522,-0.218
4.4,-0.666,-0.217
4.6,-0.798,-0.16
4.8,-0.857,-0.171
5,-0.909,-0.151
5.2,-0.909,-0.157
5.4,-0.883,-0.105
5.6,-0.811,-0.063
5.8,-0.776,-0.034
6,-0.644,0.062
6.2,-0.569,0.092
6.4,-0.555,0.183
6.6,-0.479,0.273
6.8,-0.481,0.364
7,-0.49,0.466
7.2,-0.52,0.522
7.4,-0.545,0.556
7.6,-0.557,0.54
7.8,-0.571,0.558
8,-0.557,0.519
8.2,-0.441,0.515
8.4,-0.345,0.506
8.6,-0.187,0.464
8.8,-0.037,0.392
9,0.092,0.374
9.2,0.238,0.371
9.4,0.423,0.33
9.6,0.531,0.303
9.8,0.593,0.35
10,0.647,0.341
10.2,0.681,0.261
10.4,0.651,0.298
10.6,0.629,0.267
10.8,0.603,0.188
11,0.567,0.088
11.2,0.564,0.015
11.4,0.506,-0.087
11.6,0.536,-0.138
11.8,0.611,-0.271
12,0.642,-0.381
12.2,0.711,-0.459
12.4,0.743,-0.51
12.6,0.762,-0.532
