t,re,im
0,1,0.012
0.2,0.982,-0.066
0.4,0.915,-0.068
0.6,0.849,-0.067
0.8,0.708,-0.125
1,0.582,-0.129
1.2,0.49,-0.201
1.4,0.379,-0.314
1.6,0.308,-0.373
1.8,0.236,-0.447
2,0.229,-0.48
2.2,0.215,-0.537
2.4,0.232,-0.577
2.6,0.162,-0.607
2.8,0.189,-0.578
3,0.116,-0.557
3.2,0.068,-0.465
3.4,0.032,-0.412
3.6,-0.111,-0.365
3.8,-0.234,-0.306
4,-0.398,-0.25
4.2,-0.533,-0.215
4.4,-0.675,-0.173
4.6,-0.778,-0.137
4.8,-0.871,-0.185
5,-0.912,-0.157
5.2,-0.886,-0.155
5.4,-0.887,-0.081
5.6,-0.84,-0.059
5.8,-0.746,-0.048
6,-0.674,0.039
6.2,-0.599,0.106
6.4,-0.566,0.233
6.6,-0.491,0.284
6.8,-0.457,0.425
7,-0.545,0.483
7.2,-0.524,0.508
7.4,-0.527,0.54
7.6,-0.564,0.55
7.8,-0.546,0.561
8,-0.481,0.543
8.2,-0.421,0.491
8.4,-0.327,0.486
8.6,-0.22,0.434
8.8,-0.058,0.368
9,0.099,0.394
9.2,0.252,0.347
9.4,0.4,0.325
9.6,0.485,0.295
9.8,0.619,0.371
10,0.634,0.33
10.2,0.694,0.315
10.4,0.641,0.301
10.6,0.64,0.236
10.8,0.592,0.165
11,0.59,0.136
11.2,0.519,0.035
11.4,0.532,-0.005
11.6,0.538,-0.127
11.8,0.547,-0.266
12,0.668,-0.345
12.2,0.693,-0.414
12.4,0.742,-0.453
12.6,0.772,-0.536
