t,re,im
0,2.175,-0.1365
0.2,2.3475,-0.0945
0.4,2.052,-0.3705
0.6,2.0385,-0.591
0.8,1.815,-0.693
1,1.818,-0.8265
1.2,1.5375,-1.0935
1.4,1.299,-1.1865
1.6,1.3065,-1.26
1.8,1.0185,-1.5525
2,0.8325,-1.695
2.2,0.7005,-1.7415
2.4,0.477,-1.7445
2.6,0.267,-1.86
2.8,0.2955,-1.8855
3,0.1665,-1.812
3.2,-0.1905,-1.659
3.4,-0.414,-1.512
3.6,-0.672,-1.617
3.8,-0.9195,-1.4355
4,-1.1685,-1.323
4.2,-1.479,-1.164
4.4,-1.587,-0.969
4.6,-1.7385,-0.8925
4.8,-1.9815,-0.8685
5,-2.127,-0.7245
5.2,-2.103,-0.468
5.4,-2.07,-0.225
5.6,-2.1015,-0.171
5.8,-1.992,0.006
6,-1.896,0.2115
6.2,-1.8705,0.519
6.4,-1.7205,0.6975
6.6,-1.5495,0.8685
6.8,-1.5315,1.0905
7,-1.4325,1.26
7.2,-1.431,1.3305
7.4,-1.17,1.506
7.6,-1.0545,1.5765
7.8,-1.0905,1.7685
8,-0.927,1.788
8.2,-0.648,1.8405
8.4,-0.528,1.8255
8.6,-0.1155,1.617
8.8,0.132,1.6095
9,0.438,1.686
9.2,0.6435,1.5675
9.4,1.0155,1.59
9.6,1.275,1.2255
9.8,1.4805,1.224
10,1.6545,1.125
10.2,1.7415,1.158
10.4,1.7625,0.9525
10.6,1.785,0.7755
10.8,1.746,0.6135
11,1.707,0.3975
11.2,1.9245,0.279
11.4,1.833,-0.078
11.6,1.8915,-0.261
11.8,1.7385,-0.3705
12,1.866,-0.6945
12.2,1.8225,-1.0005
12.4,1.9545,-1.1175
12.6,1.7355,-1.215
