t,re,im
0,1,0.037
0.2,0.983,-0.001
0.4,0.927,-0.044
0.6,0.825,-0.063
0.8,0.744,-0.108
1,0.634,-0.189
1.2,0.469,-0.241
1.4,0.389,-0.323
1.6,0.306,-0.403
1.8,0.207,-0.462
2,0.221,-0.494
2.2,0.201,-0.549
2.4,0.202,-0.582
2.6,0.202,-0.584
2.8,0.205,-0.603
3,0.138,-0.52
3.2,0.099,-0.469
3.4,0.035,-0.421
3.6,-0.136,-0.383
3.8,-0.224,-0.319
4,-0.426,-0.268
4.2,-0.574,-0.209
4.4,-0.675,-0.228
4.6,-0.775,-0.182
4.8,-0.888,-0.147
5,-0.923,-0.122
5.2,-0.903,-0.132
5.4,-0.886,-0.109
5.6,-0.799,-0.061
5.8,-0.754,-0.043
6,-0.646,0.053
6.2,-0.588,0.107
6.4,-0.581,0.189
6.6,-0.484,0.309
6.8,-0.518,0.404
7,-0.48,0.449
7.2,-0.542,0.512
7.4,-0.545,0.566
7.6,-0.554,0.571
7.8,-0.553,0.594
8,-0.514,0.583
8.2,-0.451,0.523
8.4,-0.316,0.482
8.6,-0.249,0.434
8.8,-0.089,0.39
9,0.123,0.325
9.2,0.226,0.361
9.4,0.419,0.343
9.6,0.526,0.327
9.8,0.616,0.353
10,0.659,0.271
10.2,0.685,0.331
10.4,0.691,0.295
10.6,0.656,0.205
10.8,0.588,0.211
11,0.559,0.11
11.2,0.528,0.027
11.4,0.555,-0.095
11.6,0.549,-0.176
11.8,0.6,-0.286
12,0.628,-0.36
12.2,0.663,-0.405
12.4,0.747,-0.514
12.6,0.777,-0.54
