t,re,im
0,2.3295,0.015
0.2,2.211,-0.1485
0.4,2.163,-0.2685
0.6,2.043,-0.5235
0.8,1.9005,-0.6015
1,1.7355,-0.807
1.2,1.5645,-1.017
1.4,1.3245,-1.077
1.6,1.104,-1.317
1.8,0.9765,-1.473
2,0.6975,-1.5255
2.2,0.5895,-1.677
2.4,0.471,-1.83
2.6,0.4305,-1.8285
2.8,0.2595,-1.8495
3,0.024,-1.7745
3.2,-0.0165,-1.764
3.4,-0.2865,-1.68
3.6,-0.516,-1.542
3.8,-0.9225,-1.3755
4,-1.194,-1.3815
4.2,-1.4085,-1.1415
4.4,-1.7745,-1.083
4.6,-1.725,-0.972
4.8,-1.9935,-0.9285
5,-2.0895,-0.6045
5.2,-2.1855,-0.5745
5.4,-2.1255,-0.309
5.6,-2.1315,-0.171
5.8,-1.9905,0.0735
6,-1.9335,0.2145
6.2,-1.941,0.4305
6.4,-1.7055,0.6045
6.6,-1.611,0.9165
6.8,-1.4385,1.014
7,-1.5555,1.1415
7.2,-1.4025,1.371
7.4,-1.2405,1.587
7.6,-1.0995,1.6305
7.8,-0.939,1.74
8,-0.8385,1.698
8.2,-0.6585,1.743
8.4,-0.4455,1.704
8.6,-0.162,1.719
8.8,-0.051,1.665
9,0.45,1.602
9.2,0.573,1.5105
9.4,1.101,1.5315
9.6,1.1955,1.56
9.8,1.4565,1.344
10,1.665,1.2285
10.2,1.7115,1.161
10.4,1.758,0.9885
10.6,1.836,0.7305
10.8,1.884,0.648
11,1.8255,0.216
11.2,1.917,0.1095
11.4,1.8525,-0.039
11.6,1.776,-0.186
11.8,1.8045,-0.462
12,1.875,-0.6765
12.2,1.7745,-1.2045
12.4,1.8315,-1.1685
12.6,1.761,-1.2645
