t,re,im
0,2.2365,0.1125
0.2,2.223,-0.126
0.4,2.1225,-0.3315
0.6,1.9905,-0.498
0.8,1.9185,-0.609
1,1.815,-0.9435
1.2,1.4475,-1.023
1.4,1.3605,-1.188
1.6,1.1265,-1.446
1.8,0.915,-1.587
2,0.8385,-1.6635
2.2,0.7725,-1.782
2.4,0.5295,-1.8225
2.6,0.4185,-1.7595
2.8,0.081,-1.8465
3,0.0285,-1.8315
3.2,-0.078,-1.626
3.4,-0.327,-1.5735
3.6,-0.795,-1.5465
3.8,-0.8625,-1.377
4,-1.29,-1.2885
4.2,-1.5435,-1.1025
4.4,-1.5975,-1.0335
4.6,-1.8015,-0.792
4.8,-2.0775,-0.6975
5,-2.1615,-0.6315
5.2,-2.205,-0.549
5.4,-2.2305,-0.318
5.6,-2.055,-0.1185
5.8,-1.995,-0.0105
6,-1.8735,0.2715
6.2,-1.749,0.435
6.4,-1.6425,0.6255
6.6,-1.539,0.8445
6.8,-1.5735,1.167
7,-1.344,1.1715
7.2,-1.383,1.3875
7.4,-1.3905,1.6125
7.6,-1.266,1.6965
7.8,-1.0455,1.743
8,-0.9345,1.7715
8.2,-0.759,1.632
8.4,-0.4305,1.728
8.6,-0.357,1.6665
8.8,0.0285,1.704
9,0.3855,1.6185
9.2,0.63,1.5285
9.4,1.0335,1.5375
9.6,1.1535,1.428
9.8,1.3815,1.497
10,1.482,1.1655
10.2,1.7145,1.146
10.4,1.7865,0.9225
10.6,1.731,0.7335
10.8,1.758,0.7185
11,1.8015,0.3255
11.2,1.8045,0.1155
11.4,1.785,-0.1395
11.6,1.734,-0.2085
11.8,1.8285,-0.63
12,1.782,-0.747
12.2,1.791,-0.9555
12.4,1.83,-1.032
12.6,1.8015,-1.3245
