t,re,im
0,1,-0.01
0.2,0.981,-0.013
0.4,0.916,-0.029
0.6,0.837,-0.089
0.8,0.722,-0.141
1,0.602,-0.151
1.2,0.489,-0.193
1.4,0.343,-0.313
1.6,0.287,-0.352
1.8,0.279,-0.416
2,0.234,-0.536
2.2,0.202,-0.542
2.4,0.211,-0.538
2.6,0.179,-0.57
2.8,0.199,-0.572
3,0.132,-0.525
3.2,0.08,-0.434
3.4,0.022,-0.431
3.6,-0.078,-0.394
3.8,-0.247,-0.265
4,-0.379,-0.268
4.2,-0.536,-0.203
4.4,-0.672,-0.194
4.6,-0.79,-0.195
4.8,-0.868,-0.13
5,-0.92,-0.137
5.2,-0.913,-0.111
5.4,-0.871,-0.099
5.6,-0.813,-0.067
5.8,-0.752,-0.03
6,-0.697,0.06
6.2,-0.597,0.114
6.4,-0.542,0.208
6.6,-0.505,0.295
6.8,-0.498,0.35
7,-0.496,0.451
7.2,-0.53,0.515
7.4,-0.541,0.576
7.6,-0.537,0.54
7.8,-0.53,0.57
8,-0.528,0.563
8.2,-0.444,0.566
8.4,-0.37,0.49
8.6,-0.253,0.414
8.8,-0.057,0.405
9,0.058,0.388
9.2,0.276,0.35
9.4,0.395,0.329
9.6,0.51,0.31
9.8,0.602,0.3
10,0.675,0.311
10.2,0.66,0.294
10.4,0.674,0.295
10.6,0.626,0.252
10.8,0.584,0.196
11,0.538,0.135
11.2,0.585,0.068
11.4,0.518,-0.031
11.6,0.523,-0.131
11.8,0.582,-0.267
12,0.64,-0.368
12.2,0.714,-0.444
12.4,0.768,-0.465
12.6,0.802,-0.527
