t,re,im
0,2.229,0.0375
0.2,2.2245,-0.174
0.4,2.2155,-0.3855
0.6,1.9215,-0.447
0.8,1.8555,-0.726
1,1.722,-0.906
1.2,1.437,-1.1595
1.4,1.278,-1.122
1.6,1.131,-1.137
1.8,0.9645,-1.6215
2,0.7425,-1.62
2.2,0.75,-1.6575
2.4,0.6255,-1.8525
2.6,0.3075,-1.848
2.8,0.261,-1.902
3,0.063,-1.7865
3.2,-0.1155,-1.7475
3.4,-0.3225,-1.6275
3.6,-0.609,-1.467
3.8,-0.87,-1.5435
4,-1.1025,-1.3815
4.2,-1.416,-1.293
4.4,-1.647,-0.9825
4.6,-1.755,-0.8715
4.8,-1.9245,-0.7905
5,-2.0745,-0.594
5.2,-2.0805,-0.5205
5.4,-2.0715,-0.3525
5.6,-2.097,-0.261
5.8,-2.025,0.0465
6,-2.0205,0.3255
6.2,-1.743,0.6255
6.4,-1.839,0.6645
6.6,-1.5975,0.9885
6.8,-1.695,1.1475
7,-1.527,1.236
7.2,-1.3305,1.4895
7.4,-1.3575,1.665
7.6,-1.2705,1.6845
7.8,-1.107,1.7025
8,-0.942,1.7235
8.2,-0.714,1.7325
8.4,-0.5595,1.7325
8.6,-0.198,1.6155
8.8,0.0585,1.755
9,0.483,1.59
9.2,0.699,1.647
9.4,0.9045,1.497
9.6,1.3395,1.3275
9.8,1.365,1.356
10,1.5075,1.125
10.2,1.674,1.29
10.4,1.713,1.0485
10.6,1.806,0.846
10.8,1.764,0.711
11,1.725,0.3885
11.2,1.881,0.1785
11.4,1.758,-0.0285
11.6,1.8735,-0.1965
11.8,1.821,-0.534
12,1.8495,-0.78
12.2,1.908,-0.933
12.4,1.851,-1.098
12.6,1.884,-1.2345
