t,re,im
0,1,0.031
0.2,0.976,-0.026
0.4,0.916,-0.064
0.6,0.814,-0.073
0.8,0.74,-0.101
1,0.6,-0.177
1.2,0.499,-0.22
1.4,0.387,-0.267
1.6,0.248,-0.36
1.8,0.249,-0.442
2,0.265,-0.467
2.2,0.191,-0.539
2.4,0.21,-0.569
2.6,0.178,-0.576
2.8,0.178,-0.623
3,0.185,-0.565
3.2,0.092,-0.461
3.4,-0.015,-0.44
3.6,-0.131,-0.384
3.8,-0.234,-0.314
4,-0.361,-0.283
4.2,-0.578,-0.228
4.4,-0.666,-0.205
4.6,-0.792,-0.178
4.8,-0.881,-0.188
5,-0.91,-0.187
5.2,-0.912,-0.074
5.4,-0.867,-0.145
5.6,-0.831,-0.068
5.8,-0.726,-0.048
6,-0.655,0.036
6.2,-0.606,0.13
6.4,-0.503,0.196
6.6,-0.519,0.272
6.8,-0.473,0.42
7,-0.48,0.466
7.2,-0.525,0.516
7.4,-0.533,0.55
7.6,-0.552,0.581
7.8,-0.539,0.567
8,-0.502,0.57
8.2,-0.438,0.515
8.4,-0.346,0.479
8.6,-0.172,0.451
8.8,-0.049,0.387
9,0.101,0.375
9.2,0.284,0.361
9.4,0.396,0.312
9.6,0.53,0.343
9.8,0.636,0.346
10,0.643,0.325
10.2,0.721,0.27
10.4,0.681,0.252
10.6,0.64,0.262
10.8,0.577,0.166
11,0.568,0.105
11.2,0.521,0.052
11.4,0.523,-0.073
11.6,0.55,-0.203
11.8,0.588,-0.26
12,0.634,-0.378
12.2,0.698,-0.436
12.4,0.757,-0.494
12.6,0.768,-0.501
