t,re,im
0,1,-0.017
0.2,0.969,-0.027
0.4,0.916,-0.05
0.6,0.835,-0.081
0.8,0.722,-0.081
1,0.599,-0.159
1.2,0.474,-0.196
1.4,0.396,-0.272
1.6,0.31,-0.37
1.8,0.259,-0.415
2,0.22,-0.499
2.2,0.207,-0.571
2.4,0.216,-0.602
2.6,0.201,-0.578
2.8,0.166,-0.561
3,0.157,-0.533
3.2,0.088,-0.486
3.4,0.014,-0.415
3.6,-0.073,-0.358
3.8,-0.177,-0.277
4,-0.424,-0.243
4.2,-0.545,-0.26
4.4,-0.673,-0.199
4.6,-0.775,-0.192
4.8,-0.839,-0.166
5,-0.902,-0.119
5.2,-0.922,-0.137
5.4,-0.878,-0.079
5.6,-0.803,-0.065
5.8,-0.746,0.002
6,-0.674,0.007
6.2,-0.566,0.159
6.4,-0.502,0.156
6.6,-0.524,0.267
6.8,-0.494,0.385
7,-0.466,0.467
7.2,-0.506,0.52
7.4,-0.552,0.522
7.6,-0.556,0.566
7.8,-0.552,0.575
8,-0.489,0.52
8.2,-0.427,0.518
8.4,-0.352,0.502
8.6,-0.174,0.424
8.8,-0.087,0.404
9,0.084,0.36
9.2,0.264,0.318
9.4,0.44,0.312
9.6,0.511,0.288
9.8,0.6,0.321
10,0.65,0.3
10.2,0.691,0.309
10.4,0.641,0.276
10.6,0.609,0.266
10.8,0.626,0.151
11,0.568,0.106
11.2,0.569,0.047
11.4,0.584,-0.023
11.6,0.541,-0.163
11.8,0.559,-0.221
12,0.599,-0.338
12.2,0.662,-0.399
12.4,0.742,-0.458
12.6,0.772,-0.528
