t,re,im
0,1,-0.027
0.2,0.974,-0.029
0.4,0.917,-0.037
0.6,0.822,-0.049
0.8,0.717,-0.1
1,0.596,-0.142
1.2,0.5,-0.209
1.4,0.384,-0.288
1.6,0.287,-0.349
1.8,0.254,-0.436
2,0.219,-0.466
2.2,0.187,-0.522
2.4,0.178,-0.567
2.6,0.235,-0.596
2.8,0.198,-0.599
3,0.165,-0.546
3.2,0.129,-0.483
3.4,0.019,-0.42
3.6,-0.054,-0.364
3.8,-0.252,-0.3
4,-0.379,-0.262
4.2,-0.549,-0.21
4.4,-0.691,-0.214
4.6,-0.769,-0.174
4.8,-0.846,-0.208
5,-0.919,-0.135
5.2,-0.907,-0.125
5.4,-0.871,-0.127
5.6,-0.812,-0.068
5.8,-0.725,-0.031
6,-0.661,0.017
6.2,-0.62,0.115
6.4,-0.527,0.191
6.6,-0.478,0.269
6.8,-0.49,0.345
7,-0.51,0.419
7.2,-0.501,0.488
7.4,-0.516,0.567
7.6,-0.531,0.587
7.8,-0.537,0.57
8,-0.5,0.539
8.2,-0.421,0.506
8.4,-0.36,0.492
8.6,-0.226,0.463
8.8,-0.12,0.392
9,0.112,0.358
9.2,0.254,0.339
9.4,0.427,0.324
9.6,0.523,0.337
9.8,0.596,0.328
10,0.683,0.319
10.2,0.698,0.316
10.4,0.687,0.291
10.6,0.622,0.241
10.8,0.644,0.184
11,0.582,0.084
11.2,0.527,0.035
11.4,0.531,-0.073
11.6,0.552,-0.145
11.8,0.567,-0.252
12,0.618,-0.327
12.2,0.692,-0.492
12.4,0.749,-0.545
12.6,0.769,-0.496
