t,re,im
0,1,-0.016
0.2,0.981,-0.031
0.4,0.922,-0.018
0.6,0.82,-0.103
0.8,0.717,-0.107
1,0.589,-0.143
1.2,0.487,-0.265
1.4,0.356,-0.26
1.6,0.317,-0.4
1.8,0.219,-0.451
2,0.21,-0.5
2.2,0.215,-0.549
2.4,0.244,-0.609
2.6,0.187,-0.585
2.8,0.195,-0.592
3,0.167,-0.561
3.2,0.095,-0.512
3.4,0.005,-0.444
3.6,-0.072,-0.373
3.8,-0.232,-0.356
4,-0.407,-0.261
4.2,-0.513,-0.231
4.4,-0.659,-0.225
4.6,-0.768,-0.172
4.8,-0.873,-0.144
5,-0.891,-0.165
5.2,-0.903,-0.124
5.4,-0.875,-0.085
5.6,-0.818,-0.064
5.8,-0.746,-0.031
6,-0.672,0.058
6.2,-0.609,0.106
6.4,-0.549,0.2
6.6,-0.473,0.265
6.8,-0.49,0.355
7,-0.507,0.454
7.2,-0.499,0.496
7.4,-0.543,0.572
7.6,-0.562,0.576
7.8,-0.53,0.58
8,-0.5,0.534
8.2,-0.452,0.545
8.4,-0.348,0.506
8.6,-0.197,0.441
8.8,-0.051,0.389
9,0.085,0.395
9.2,0.257,0.357
9.4,0.386,0.291
9.6,0.516,0.307
9.8,0.624,0.303
10,0.657,0.304
10.2,0.676,0.286
10.4,0.676,0.26
10.6,0.648,0.243
10.8,0.619,0.147
11,0.567,0.083
11.2,0.496,0.057
11.4,0.533,-0.082
11.6,0.577,-0.186
11.8,0.582,-0.243
12,0.634,-0.364
12.2,0.697,-0.417
12.4,0.728,-0.492
12.6,0.748,-0.521
