t,re,im
0,2.238,-0.075
0.2,2.2995,-0.204
0.4,2.1945,-0.291
0.6,2.031,-0.3915
0.8,1.9635,-0.558
1,1.698,-0.966
1.2,1.392,-0.972
1.4,1.2435,-1.1715
1.6,1.125,-1.3275
1.8,0.954,-1.512
2,0.642,-1.4745
2.2,0.69,-1.815
2.4,0.447,-1.935
2.6,0.4455,-1.8105
2.8,0.2775,-1.848
3,0.072,-1.776
3.2,-0.2205,-1.77
3.4,-0.36,-1.551
3.6,-0.6915,-1.4655
3.8,-0.8265,-1.326
4,-1.152,-1.1325
4.2,-1.41,-1.122
4.4,-1.656,-0.945
4.6,-1.7745,-0.7755
4.8,-1.992,-0.8175
5,-2.187,-0.6585
5.2,-2.139,-0.5175
5.4,-2.025,-0.42
5.6,-2.097,-0.1605
5.8,-2.061,0.027
6,-1.914,0.2235
6.2,-1.83,0.507
6.4,-1.677,0.5625
6.6,-1.683,0.9375
6.8,-1.5345,1.1835
7,-1.5225,1.278
7.2,-1.26,1.437
7.4,-1.365,1.6515
7.6,-1.1595,1.7835
7.8,-0.9435,1.686
8,-0.771,1.782
8.2,-0.6585,1.6845
8.4,-0.6045,1.815
8.6,-0.273,1.6815
8.8,0.081,1.6725
9,0.366,1.5495
9.2,0.5925,1.4655
9.4,0.9315,1.4505
9.6,1.3845,1.4625
9.8,1.4385,1.3155
10,1.434,1.182
10.2,1.6545,1.14
10.4,1.707,0.855
10.6,1.8045,0.894
10.8,1.812,0.5175
11,1.776,0.537
11.2,1.7985,0.1155
11.4,1.8555,-0.0525
11.6,1.791,-0.3255
11.8,1.8315,-0.543
12,1.8195,-0.9135
12.2,1.8915,-0.897
12.4,1.899,-1.107
12.6,1.6575,-1.248
