t,re,im
0,2.1825,0.051
0.2,2.295,-0.273
0.4,2.2185,-0.315
0.6,2.016,-0.4455
0.8,1.9065,-0.549
1,1.797,-0.732
1.2,1.4325,-0.969
1.4,1.3125,-1.155
1.6,1.2795,-1.3845
1.8,0.9855,-1.4205
2,0.951,-1.575
2.2,0.6975,-1.8465
2.4,0.615,-1.851
2.6,0.366,-1.8915
2.8,0.2325,-1.8375
3,0.06,-1.791
3.2,-0.0885,-1.686
3.4,-0.2025,-1.626
3.6,-0.465,-1.4175
3.8,-0.7875,-1.302
4,-1.2555,-1.278
4.2,-1.4505,-1.2585
4.4,-1.701,-1.074
4.6,-1.869,-0.8265
4.8,-1.788,-0.852
5,-2.115,-0.594
5.2,-2.1555,-0.5145
5.4,-2.1375,-0.261
5.6,-2.058,-0.165
5.8,-2.112,0.12
6,-1.9365,0.2835
6.2,-1.6965,0.639
6.4,-1.6935,0.5685
6.6,-1.6575,0.828
6.8,-1.56,1.1325
7,-1.4085,1.3965
7.2,-1.3755,1.6215
7.4,-1.3365,1.4925
7.6,-1.1295,1.6425
7.8,-1.1025,1.8075
8,-0.8535,1.6035
8.2,-0.522,1.7175
8.4,-0.495,1.692
8.6,-0.174,1.5855
8.8,0.1335,1.7925
9,0.3855,1.539
9.2,0.786,1.566
9.4,1.0275,1.434
9.6,1.0545,1.467
9.8,1.3815,1.296
10,1.4685,1.317
10.2,1.7085,1.17
10.4,1.6665,0.942
10.6,1.716,0.807
10.8,1.788,0.5445
11,1.8255,0.3825
11.2,1.8555,0.1455
11.4,2.0145,-0.0225
11.6,1.836,-0.339
11.8,1.7565,-0.4995
12,1.692,-0.627
12.2,1.746,-0.909
12.4,1.74,-1.083
12.6,1.7385,-1.2765
