t,re,im
0,2.3205,0.057
0.2,2.2425,-0.2685
0.4,2.184,-0.366
0.6,1.9425,-0.471
0.8,1.9305,-0.6135
1,1.7535,-0.948
1.2,1.4505,-1.0635
1.4,1.209,-1.2465
1.6,0.9795,-1.3605
1.8,1.1355,-1.401
2,0.8595,-1.743
2.2,0.6435,-1.7925
2.4,0.603,-1.6605
2.6,0.255,-1.8975
2.8,0.1425,-1.9695
3,-0.0315,-1.7115
3.2,-0.234,-1.635
3.4,-0.2925,-1.5705
3.6,-0.5595,-1.569
3.8,-0.834,-1.4055
4,-1.1235,-1.425
4.2,-1.335,-1.203
4.4,-1.6995,-0.957
4.6,-1.8345,-0.84
4.8,-2.0475,-0.849
5,-2.0775,-0.5625
5.2,-2.1675,-0.504
5.4,-2.0865,-0.285
5.6,-2.07,0.0075
5.8,-1.9395,0.1095
6,-1.806,0.2295
6.2,-1.7745,0.4065
6.4,-1.698,0.5025
6.6,-1.653,0.8625
6.8,-1.6305,1.1085
7,-1.491,1.242
7.2,-1.3755,1.5585
7.4,-1.221,1.608
7.6,-1.266,1.797
7.8,-1.0305,1.7085
8,-0.948,1.842
8.2,-0.696,1.779
8.4,-0.462,1.7535
8.6,-0.1275,1.6605
8.8,0.039,1.6455
9,0.432,1.4925
9.2,0.657,1.596
9.4,0.9645,1.455
9.6,1.1535,1.407
9.8,1.2375,1.4175
10,1.4775,1.3095
10.2,1.638,1.1415
10.4,1.6965,0.99
10.6,1.6965,0.7845
10.8,1.662,0.6
11,1.9095,0.507
11.2,1.7355,0.1335
11.4,1.7025,-0.147
11.6,1.7775,-0.2955
11.8,1.7565,-0.447
12,1.9155,-0.672
12.2,1.9995,-1.0935
12.4,1.728,-1.164
12.6,1.8015,-1.191
