t,re,im
0,1,0.046
0.2,0.981,-0.026
0.4,0.915,-0.056
0.6,0.797,-0.07
0.8,0.732,-0.087
1,0.588,-0.191
1.2,0.454,-0.215
1.4,0.368,-0.305
1.6,0.273,-0.381
1.8,0.286,-0.423
2,0.256,-0.498
2.2,0.173,-0.548
2.4,0.213,-0.569
2.6,0.18,-0.569
2.8,0.161,-0.611
3,0.137,-0.506
3.2,0.091,-0.462
3.4,0.033,-0.456
3.6,-0.065,-0.372
3.8,-0.2,-0.306
4,-0.414,-0.278
4.2,-0.502,-0.209
4.4,-0.7,-0.156
4.6,-0.779,-0.135
4.8,-0.852,-0.148
5,-0.906,-0.139
5.2,-0.909,-0.116
5.4,-0.859,-0.11
5.6,-0.809,-0.029
5.8,-0.738,-0.03
6,-0.65,0.054
6.2,-0.597,0.122
6.4,-0.531,0.173
6.6,-0.505,0.309
6.8,-0.514,0.359
7,-0.507,0.453
7.2,-0.485,0.515
7.4,-0.517,0.563
7.6,-0.579,0.591
7.8,-0.531,0.573
8,-0.53,0.567
8.2,-0.408,0.553
8.4,-0.356,0.507
8.6,-0.199,0.401
8.8,-0.081,0.398
9,0.083,0.317
9.2,0.265,0.33
9.4,0.435,0.338
9.6,0.522,0.343
9.8,0.567,0.36
10,0.631,0.312
10.2,0.676,0.307
10.4,0.688,0.281
10.6,0.606,0.251
10.8,0.572,0.208
11,0.575,0.126
11.2,0.531,0.011
11.4,0.525,-0.056
11.6,0.554,-0.149
11.8,0.573,-0.268
12,0.626,-0.326
12.2,0.704,-0.456
12.4,0.731,-0.493
12.6,0.785,-0.503
