t,re,im
0,2.214,0.0105
0.2,2.28,-0.2085
0.4,2.082,-0.2985
0.6,2.043,-0.5175
0.8,1.884,-0.642
1,1.683,-0.7395
1.2,1.4205,-1.0455
1.4,1.227,-1.1715
1.6,1.188,-1.3845
1.8,0.8925,-1.542
2,0.7185,-1.557
2.2,0.7695,-1.7565
2.4,0.5625,-1.8135
2.6,0.3885,-1.8285
2.8,0.321,-1.914
3,0.0525,-1.7685
3.2,-0.0855,-1.7655
3.4,-0.4335,-1.728
3.6,-0.5745,-1.566
3.8,-0.8475,-1.407
4,-1.1955,-1.4205
4.2,-1.359,-1.182
4.4,-1.5465,-1.017
4.6,-1.806,-0.7905
4.8,-2.0325,-0.7395
5,-2.109,-0.579
5.2,-2.1225,-0.579
5.4,-2.1165,-0.2685
5.6,-2.1195,-0.0945
5.8,-2.031,0.0495
6,-1.9935,0.234
6.2,-1.8885,0.4755
6.4,-1.7715,0.681
6.6,-1.4955,0.738
6.8,-1.596,0.9255
7,-1.4385,1.2375
7.2,-1.2585,1.4715
7.4,-1.317,1.6965
7.6,-1.2255,1.5735
7.8,-1.077,1.6215
8,-0.7845,1.7985
8.2,-0.6675,1.6335
8.4,-0.4425,1.7685
8.6,-0.2055,1.719
8.8,0.126,1.668
9,0.3465,1.6335
9.2,0.6315,1.599
9.4,0.882,1.3785
9.6,1.2495,1.3305
9.8,1.455,1.359
10,1.6605,1.23
10.2,1.755,1.0515
10.4,1.59,0.8805
10.6,1.845,0.888
10.8,1.8315,0.4815
11,1.845,0.4185
11.2,1.6875,0.174
11.4,1.761,-0.219
11.6,1.884,-0.3555
11.8,1.824,-0.4695
12,1.851,-0.789
12.2,1.839,-0.8745
12.4,1.7805,-1.176
12.6,1.695,-1.296
