t,re,im
0,2.2665,0.1755
0.2,2.247,-0.27
0.4,2.1285,-0.348
0.6,2.0205,-0.5265
0.8,1.9545,-0.5565
1,1.6485,-0.8025
1.2,1.5735,-1.035
1.4,1.173,-0.981
1.6,0.996,-1.2945
1.8,0.927,-1.5375
2,0.897,-1.551
2.2,0.6375,-1.8135
2.4,0.459,-1.794
2.6,0.351,-1.842
2.8,0.2685,-1.9155
3,0.021,-1.803
3.2,-0.0735,-1.6095
3.4,-0.4395,-1.686
3.6,-0.717,-1.596
3.8,-0.8445,-1.422
4,-1.0515,-1.296
4.2,-1.4895,-1.2135
4.4,-1.59,-1.065
4.6,-1.791,-0.8535
4.8,-1.9605,-0.831
5,-2.151,-0.6945
5.2,-2.193,-0.411
5.4,-2.0235,-0.369
5.6,-2.1405,-0.1845
5.8,-2.01,-0.009
6,-1.917,0.2415
6.2,-1.842,0.5925
6.4,-1.638,0.6255
6.6,-1.632,0.8295
6.8,-1.4235,1.2405
7,-1.479,1.293
7.2,-1.4085,1.4115
7.4,-1.323,1.542
7.6,-1.0755,1.707
7.8,-1.0605,1.6965
8,-0.87,1.7775
8.2,-0.654,1.794
8.4,-0.4785,1.6605
8.6,0.015,1.722
8.8,0.093,1.608
9,0.378,1.677
9.2,0.7275,1.587
9.4,0.9435,1.3845
9.6,1.1565,1.5375
9.8,1.44,1.365
10,1.5975,1.239
10.2,1.722,1.077
10.4,1.7955,0.765
10.6,1.95,0.9105
10.8,1.701,0.4515
11,1.7325,0.2865
11.2,1.6575,0.2625
11.4,1.812,-0.03
11.6,1.7145,-0.3405
11.8,1.8,-0.579
12,1.8735,-0.8475
12.2,1.941,-0.9
12.4,1.896,-1.182
12.6,1.716,-1.242
