t,re,im
0,1,-0.014
0.2,0.983,-0.01
0.4,0.921,-0.029
0.6,0.846,-0.043
0.8,0.712,-0.069
1,0.626,-0.199
1.2,0.46,-0.198
1.4,0.374,-0.306
1.6,0.289,-0.358
1.8,0.236,-0.46
2,0.205,-0.494
2.2,0.196,-0.592
2.4,0.199,-0.584
2.6,0.202,-0.568
2.8,0.186,-0.596
3,0.168,-0.537
3.2,0.068,-0.457
3.4,0.013,-0.419
3.6,-0.123,-0.323
3.8,-0.225,-0.299
4,-0.399,-0.275
4.2,-0.533,-0.223
4.4,-0.664,-0.169
4.6,-0.796,-0.143
4.8,-0.866,-0.162
5,-0.91,-0.149
5.2,-0.907,-0.128
5.4,-0.879,-0.154
5.6,-0.814,-0.09
5.8,-0.742,0.009
6,-0.675,0.067
6.2,-0.599,0.13
6.4,-0.527,0.164
6.6,-0.513,0.275
6.8,-0.477,0.354
7,-0.504,0.449
7.2,-0.509,0.483
7.4,-0.561,0.555
7.6,-0.54,0.603
7.8,-0.484,0.57
8,-0.519,0.558
8.2,-0.455,0.521
8.4,-0.347,0.488
8.6,-0.24,0.408
8.8,-0.067,0.406
9,0.08,0.358
9.2,0.234,0.342
9.4,0.422,0.338
9.6,0.551,0.34
9.8,0.621,0.327
10,0.649,0.335
10.2,0.666,0.298
10.4,0.685,0.256
10.6,0.655,0.264
10.8,0.602,0.192
11,0.574,0.131
11.2,0.53,0.039
11.4,0.565,-0.053
11.6,0.545,-0.152
11.8,0.608,-0.275
12,0.607,-0.363
12.2,0.698,-0.43
12.4,0.75,-0.477
12.6,0.782,-0.519
