t,re,im
0,2.3355,-0.0555
0.2,2.2395,-0.09
0.4,2.238,-0.2385
0.6,2.055,-0.417
0.8,1.8615,-0.5445
1,1.6455,-0.819
1.2,1.3785,-0.993
1.4,1.299,-1.0575
1.6,1.0545,-1.2405
1.8,0.849,-1.527
2,0.837,-1.5315
2.2,0.6135,-1.728
2.4,0.597,-1.926
2.6,0.339,-1.797
2.8,0.1845,-1.815
3,-0.051,-1.818
3.2,0.0675,-1.752
3.4,-0.39,-1.608
3.6,-0.588,-1.5885
3.8,-0.7875,-1.446
4,-1.026,-1.461
4.2,-1.3545,-1.161
4.4,-1.662,-1.0965
4.6,-1.878,-0.882
4.8,-1.9665,-0.7935
5,-2.1345,-0.5895
5.2,-2.223,-0.5835
5.4,-2.157,-0.384
5.6,-2.16,-0.1785
5.8,-2.0745,-0.045
6,-1.827,0.3285
6.2,-1.782,0.375
6.4,-1.767,0.594
6.6,-1.605,0.8745
6.8,-1.5135,1.0545
7,-1.44,1.2285
7.2,-1.3545,1.464
7.4,-1.395,1.545
7.6,-1.1625,1.5945
7.8,-1.1925,1.749
8,-0.9825,1.662
8.2,-0.774,1.713
8.4,-0.567,1.8405
8.6,-0.0585,1.6665
8.8,0.1905,1.6425
9,0.285,1.626
9.2,0.6495,1.6065
9.4,1.077,1.4115
9.6,1.326,1.3635
9.8,1.2885,1.419
10,1.5975,1.236
10.2,1.5675,0.942
10.4,1.6875,1.047
10.6,1.728,0.8745
10.8,1.7595,0.666
11,1.92,0.258
11.2,1.8705,0.204
11.4,1.7535,-0.0885
11.6,1.758,-0.3
11.8,1.8765,-0.5775
12,1.869,-0.8325
12.2,1.8555,-0.9825
12.4,1.851,-1.188
12.6,1.7715,-1.278
