t,re,im
0,1,-0.029
0.2,0.983,-0.006
0.4,0.922,-0.077
0.6,0.822,-0.069
0.8,0.716,-0.105
1,0.647,-0.163
1.2,0.456,-0.252
1.4,0.392,-0.307
1.6,0.34,-0.348
1.8,0.237,-0.457
2,0.187,-0.489
2.2,0.224,-0.556
2.4,0.204,-0.587
2.6,0.194,-0.598
2.8,0.236,-0.563
3,0.19,-0.531
3.2,0.058,-0.467
3.4,0.014,-0.452
3.6,-0.131,-0.388
3.8,-0.216,-0.307
4,-0.375,-0.225
4.2,-0.553,-0.254
4.4,-0.689,-0.166
4.6,-0.776,-0.146
4.8,-0.873,-0.212
5,-0.913,-0.186
5.2,-0.897,-0.117
5.4,-0.882,-0.081
5.6,-0.83,-0.084
5.8,-0.732,-0.017
6,-0.646,0.024
6.2,-0.615,0.113
6.4,-0.51,0.19
6.6,-0.498,0.273
6.8,-0.511,0.384
7,-0.502,0.445
7.2,-0.517,0.509
7.4,-0.517,0.527
7.6,-0.543,0.576
7.8,-0.561,0.59
8,-0.523,0.544
8.2,-0.456,0.544
8.4,-0.362,0.492
8.6,-0.189,0.406
8.8,-0.057,0.382
9,0.111,0.364
9.2,0.255,0.376
9.4,0.418,0.357
9.6,0.516,0.264
9.8,0.623,0.276
10,0.655,0.319
10.2,0.669,0.299
10.4,0.666,0.273
10.6,0.645,0.259
10.8,0.578,0.18
11,0.546,0.081
11.2,0.559,0.018
11.4,0.526,-0.081
11.6,0.561,-0.143
11.8,0.556,-0.216
12,0.651,-0.367
12.2,0.703,-0.475
12.4,0.767,-0.491
12.6,0.78,-0.496
