t,re,im
0,2.331,-0.0975
0.2,2.274,-0.072
0.4,2.1585,-0.2475
0.6,2.0175,-0.549
0.8,1.8855,-0.714
1,1.6605,-0.759
1.2,1.5765,-0.954
1.4,1.116,-1.2255
1.6,1.092,-1.344
1.8,0.978,-1.464
2,0.693,-1.7055
2.2,0.7725,-1.776
2.4,0.5385,-1.77
2.6,0.3075,-1.872
2.8,0.243,-1.7925
3,0.021,-1.782
3.2,-0.1935,-1.6545
3.4,-0.4005,-1.6695
3.6,-0.477,-1.545
3.8,-0.813,-1.329
4,-1.1835,-1.3005
4.2,-1.4445,-1.029
4.4,-1.5495,-1.0155
4.6,-1.869,-0.921
4.8,-2.0985,-0.6555
5,-2.1435,-0.567
5.2,-2.2185,-0.426
5.4,-2.0655,-0.33
5.6,-2.1015,-0.1455
5.8,-2.004,0.102
6,-1.9215,0.219
6.2,-1.8495,0.438
6.4,-1.86,0.636
6.6,-1.617,0.852
6.8,-1.5525,1.041
7,-1.3455,1.2555
7.2,-1.398,1.428
7.4,-1.3215,1.656
7.6,-1.0905,1.6935
7.8,-1.095,1.7145
8,-0.8415,1.7715
8.2,-0.6165,1.863
8.4,-0.4035,1.7475
8.6,-0.2085,1.686
8.8,0.1005,1.509
9,0.3675,1.53
9.2,0.8055,1.4955
9.4,0.945,1.434
9.6,1.2645,1.3485
9.8,1.41,1.2495
10,1.5555,1.2555
10.2,1.566,0.9705
10.4,1.815,0.954
10.6,1.806,0.8085
10.8,1.8855,0.72
11,1.692,0.5115
11.2,1.947,0.246
11.4,1.761,0.0075
11.6,1.74,-0.183
11.8,1.827,-0.5265
12,1.767,-0.852
12.2,1.932,-0.9735
12.4,1.8885,-1.029
12.6,1.797,-1.413
